adversary_task,method,trigger_source,trigger_label,abs_cosine,margin_median_eta0,margin_median_eta1,median_margin_shift,mean_abs_margin_shift,sign_flip_rate,target_rate_eta0,target_rate_eta1,source
SUN397,ties,On,BadMerging-On,0.06739851932739789,2.0393733978271484,2.357527732849121,0.3173208236694336,0.8082783643645469,0.0748989898989899,0.8518181818181818,0.847020202020202,analysis/bmr_multitask_compare/SUN397/orthogonality_margin_path/endpoint_summary.csv
SUN397,ties,KDR_DTK,BMR trigger,0.06739851932739789,-7.131690979003906,-10.232465744018555,-2.899808406829834,3.018835899709451,0.013181818181818182,0.018636363636363635,0.008282828282828282,analysis/bmr_multitask_compare/SUN397/orthogonality_margin_path/endpoint_summary.csv
SUN397,regmean,On,BadMerging-On,0.0008668721671972729,2.0393733978271484,1.5225791931152344,-0.5209989547729492,1.0399107658983482,0.14232323232323232,0.8518181818181818,0.7556565656565657,analysis/bmr_multitask_compare/SUN397/orthogonality_margin_path/endpoint_summary.csv
SUN397,regmean,KDR_DTK,BMR trigger,0.0008668721671972729,-7.131690979003906,-10.349055290222168,-3.0313377380371094,3.1428221061494614,0.013787878787878788,0.018636363636363635,0.0077777777777777776,analysis/bmr_multitask_compare/SUN397/orthogonality_margin_path/endpoint_summary.csv
PETS,ta,On,BadMerging-On,0.09314293053580407,4.181528091430664,5.880878448486328,1.7373085021972656,1.8932269447221914,0.032502101428971704,0.9809470439899132,0.9618940879798262,analysis/bmr_multitask_compare/PETS/orthogonality_margin_path/endpoint_summary.csv
PETS,ta,KDR_DTK,BMR trigger,0.09314293053580407,-7.811176300048828,-11.305212020874023,-3.4584083557128906,3.6000560627961633,0.0047632390025217144,0.0047632390025217144,0.007284953768562623,analysis/bmr_multitask_compare/PETS/orthogonality_margin_path/endpoint_summary.csv
PETS,ties,On,BadMerging-On,0.08151404224115083,4.181528091430664,6.107095718383789,1.9228477478027344,1.8574842683872812,0.011768002241524236,0.9809470439899132,0.9837489492855142,analysis/bmr_multitask_compare/PETS/orthogonality_margin_path/endpoint_summary.csv
PETS,ties,KDR_DTK,BMR trigger,0.08151404224115083,-7.811176300048828,-10.628273010253906,-2.8374691009521484,2.93387985657029,0.002801905295601009,0.0047632390025217144,0.0070047632390025216,analysis/bmr_multitask_compare/PETS/orthogonality_margin_path/endpoint_summary.csv
PETS,regmean,On,BadMerging-On,0.0012113533037571207,4.181528091430664,5.931003570556641,1.790884017944336,1.7826969219409774,0.016531241244045952,0.9809470439899132,0.9823479966377137,analysis/bmr_multitask_compare/PETS/orthogonality_margin_path/endpoint_summary.csv
PETS,regmean,KDR_DTK,BMR trigger,0.0012113533037571207,-7.811176300048828,-10.568403244018555,-2.7458057403564453,2.8286052879147516,0.002801905295601009,0.0047632390025217144,0.00644438217988232,analysis/bmr_multitask_compare/PETS/orthogonality_margin_path/endpoint_summary.csv
